,ADMIN,Roller Coasters,%,Population,RCMP,Area (sq mi),Density
0,Dominican Republic,3,0.000515,10766998,0.278629,18627.997587,0.161048
1,Jamaica,2,0.000343,2890299,0.691970,4261.180756,0.469353
2,Guatemala,11,0.001888,16913503,0.650368,42296.835788,0.260067
3,Cuba,3,0.000515,11484636,0.261219,42872.359189,0.069975
4,Costa Rica,6,0.001030,4905769,1.223050,19842.543943,0.302381
5,Panama,-,-,4098587,-,29122.925563,-
6,El Salvador,-,-,6377853,-,7915.596025,-
7,Honduras,5,0.000858,9265067,0.539662,43517.028953,0.114898
8,Haiti,1,0.000172,10981229,0.091064,10499.247317,0.095245
9,Nicaragua,1,0.000172,6167237,0.162147,49701.026991,0.020120
10,Mexico,56,0.009610,129163276,0.433560,755463.752184,0.074127
11,Canada,62,0.010640,36624199,1.692870,3824427.163614,0.016212
12,United States,840,0.144157,324459463,2.588921,3651666.377229,0.230032
13,United Kingdom,205,0.035181,66181585,3.097538,94386.821217,2.171913
14,Lithuania,2,0.000343,2890297,0.691970,24990.982412,0.080029
15,Greece,8,0.001373,11159773,0.716860,51150.389402,0.156402
16,Czechia,19,0.003261,10618303,1.789363,30341.149057,0.626212
17,Ukraine,22,0.003776,44222947,0.497479,231485.651741,0.095038
18,Estonia,2,0.000343,1309632,1.527147,17479.175644,0.114422
19,Poland,64,0.010983,38170712,1.676678,120167.00929,0.532592
20,Austria,64,0.010983,8735453,7.326466,32290.336682,1.982017
21,Turkey,128,0.021967,80745020,1.585237,301215.17813,0.424945
22,Portugal,4,0.000686,10329506,0.387240,35448.930981,0.112838
23,Bulgaria,6,0.001030,7084571,0.846911,43016.029382,0.139483
24,Ireland,7,0.001201,4761657,1.470076,27060.103232,0.258683
25,Luxembourg,-,-,583455,-,993.519649,-
26,Denmark,46,0.007894,5733551,8.022951,16582.515768,2.774006
27,Belgium,35,0.006007,11429336,3.062295,11815.876637,2.962116
28,Finland,24,0.004119,5523231,4.345283,129860.411276,0.184814
29,Romania,11,0.001888,19679306,0.558963,91812.038036,0.119810
30,Belarus,11,0.001888,9468338,1.161767,79625.288363,0.138147
31,Malta,-,-,430835,-,124.797726,-
32,Croatia,5,0.000858,4189353,1.193502,21992.612607,0.227349
33,Germany,251,0.043075,82114224,3.056718,137678.893346,1.823083
34,Spain,52,0.008924,46354321,1.121794,195193.498457,0.266402
35,Netherlands,60,0.010297,17035938,3.521966,14487.790151,4.141418
36,Norway,13,0.002231,5305383,2.450341,124757.699711,0.104202
37,Sweden,34,0.005835,9910701,3.430635,172741.845787,0.196825
38,Hungary,14,0.002403,9721559,1.440098,35834.262336,0.390688
39,Cyprus,5,0.000858,1179551,4.238901,2208.910696,2.263559
40,Switzerland,20,0.003432,8476005,2.359602,15884.992426,1.259050
41,France,206,0.035353,64979548,3.170228,211650.640202,0.973302
42,Italy,133,0.022825,59359900,2.240570,115937.515638,1.147170
43,Albania,1,0.000172,2930187,0.341275,11081.53791,0.090240
44,Serbia,2,0.000343,8790574,0.227516,30147.469159,0.066341
45,Kosovo,1,0.000172,1920079,0.520812,4209.696565,0.237547
46,Andorra,2,0.000343,76965,25.985838,174.232555,11.478911
47,Slovenia,4,0.000686,2079976,1.923099,7696.433402,0.519721
48,Latvia,2,0.000343,1949670,1.025815,24864.965396,0.080434
49,Slovakia,5,0.000858,5447662,0.917825,18901.007681,0.264536
50,Liechtenstein,-,-,37922,-,62.394006,-
51,Moldova,2,0.000343,4051212,0.493679,13057.576137,0.153168
52,Bosnia and Herzegovina,2,0.000343,3507017,0.570285,19680.119822,0.101625
53,North Macedonia,1,0.000172,2083160,0.480040,9572.498753,0.104466
54,Monaco,-,-,38897,-,0.870091,-
55,Montenegro,-,-,678901,-,5140.647874,-
56,San Marino,-,-,33344,-,23.685769,-
57,Iceland,-,-,356991,-,39216.553254,-
58,Turkmenistan,6,0.001030,5758075,1.042015,188891.878202,0.031764
59,North Korea,7,0.001201,25490965,0.274607,47350.350855,0.147834
60,Nepal,2,0.000343,29304998,0.068248,57103.982148,0.035024
61,Pakistan,24,0.004119,197015955,0.121818,337946.694759,0.071017
62,Uzbekistan,34,0.005835,31910641,1.065475,172571.74475,0.197020
63,Iraq,42,0.007208,38274618,1.097333,171981.122852,0.244213
64,Myanmar,13,0.002231,53370609,0.243580,259151.042534,0.050164
65,Taiwan,22,0.003776,23626456,0.931160,14090.637959,1.561320
66,Malaysia,20,0.003432,31624264,0.632426,127753.579319,0.156551
67,South Korea,50,0.008581,50982212,0.980734,38694.564333,1.292171
68,Brunei,1,0.000172,428697,2.332650,2240.924563,0.446244
69,India,113,0.019392,1339180127,0.084380,1220375.937489,0.092594
70,Indonesia,80,0.013729,263991379,0.303040,733147.599859,0.109119
71,Thailand,17,0.002917,69037513,0.246243,199204.486463,0.085339
72,Israel,11,0.001888,8321570,1.321866,8563.648858,1.284499
73,Kuwait,14,0.002403,4136528,3.384481,6723.073269,2.082381
74,Saudi Arabia,108,0.018534,32938213,3.278866,741587.188192,0.145634
75,Bangladesh,18,0.003089,164669751,0.109310,53947.250324,0.333659
76,Singapore,5,0.000858,5708844,0.875834,270.344124,18.494946
77,Kazakhstan,30,0.005148,18204499,1.647944,1051321.384947,0.028536
78,Lebanon,15,0.002574,6082357,2.466149,3954.572991,3.793077
79,Vietnam,75,0.012871,95540800,0.785005,127572.847359,0.587899
80,Russia,197,0.033808,143989754,1.368153,6499709.939783,0.030309
81,Bahrain,2,0.000343,1492584,1.339958,276.711559,7.227743
