Roller Coaster,Amusement Park,Type,Design,Status,Opened
€uro-Coaster,Wiener Prater,Steel,Suspended,,2020-01-01
€uro Coaster,Funland Theme Park,Steel,Sit Down,Operating,2021-01-01
1066,Festyland,Steel,Sit Down,Operating,2005-01-01
10 Inversion Roller Coaster,Chimelong Paradise,Steel,Sit Down,Operating,2006-01-01
1970 Galaxy Rip Tide Coaster,Swampy Jack's Wongo Adventure,Steel,Sit Down,Relocated,2014-01-01
2 Way Coaster,Tokyo Dome City,Steel,Sit Down,,1968-01-01
3 Loops Coaster,Central Park,Steel,Sit Down,Operating,2018-01-01
3 Ring Roller Coaster,Daguan Park,Steel,Sit Down,Operating,2004-01-01
3 Ring Roller Coaster,Middle Zhejiang Amusement City,Steel,Sit Down,Operating,2014-01-01
4 Man Bob,Alton Towers,Steel,Sit Down,Relocated,1985-01-01
4 Man Bob,Trentham,Steel,Sit Down,Relocated,
4 Ring Roller Coaster,Daguan Park,Steel,Sit Down,Operating,2009-01-01
4 Ring Roller Coaster,Carde Happy World,Steel,Sit Down,Operating,2014-01-01
4 Ring Roller Coaster,Sinma Kingdom,Steel,Sit Down,Operating,2014-01-01
4 Ring Roller Coaster,Taolin Happy World,Steel,Sit Down,Operating,2014-01-01
4 Ring Roller Coaster,Longshan Park,Steel,Sit Down,,2015-01-01
4 Ring Roller Coaster,Dragon Lake Beach Happy World,Steel,Sit Down,Operating,2014-01-01
4 Ring Roller Coaster,Yuqiao Park,Steel,Sit Down,Operating,2016-01-01
5 Velocita,Luna Park,Steel,Sit Down,Operating,2001-01-01
7 Picos,Parque de Atracciones de Madrid,Steel,Sit Down,,1969-01-01
88 Train,Children's Grand Park,Steel,Sit Down,,1984-01-01
88 Train,Amusement Land,Steel,Sit Down,,
Abandon Mine,Uncle Bernie's Theme Park,Steel,Sit Down,Operating,2002-01-01
Abismo,Parque de Atracciones de Madrid,Steel,Sit Down,Operating,2006-01-01
Abyss,Adventure World,Steel,Sit Down,Operating,2013-01-01
Abyssus,Energylandia,Steel,Sit Down,Under Construction,2021-01-01
Accelerator,Drayton Manor,Steel,Sit Down,Operating,2011-01-01
Achtbaan,Amusementspark Tivoli,Steel,Sit Down,Operating,1980-01-01
Achtbaan,Bobbejaanland,Steel,Sit Down,,1976-01-01
Achtbaan,Speelpark Oud Valkeveen,Steel,Sit Down,Relocated,2005-01-01
Achtbaan,Speelpark Oud Valkeveen,Steel,Sit Down,Relocated,2013-01-01
Achtbaan,Speelpark Oud Valkeveen,Steel,Sit Down,Relocated,2009-01-01
Achtbaan,Kinderstad Heerlen,Steel,Sit Down,Relocated,2011-01-01
Achtbaan,Kinderstad Heerlen,Steel,Sit Down,Operating,2013-01-01
Achtbaan,Anna's Hoeve,Steel,Sit Down,Relocated,1974-01-01
Achterbahn,Skyline Park,Steel,Sit Down,Relocated,1999-01-01
Achterbahn,Rasti-Land,Steel,Sit Down,Operating,1991-01-01
Achterbahn,Erlebnispark Schloss Thurn,Steel,Sit Down,Relocated,
Achterbahn,Bayern Park,Steel,Sit Down,Operating,2001-01-01
Achterbahn,Wiener Prater,Wood,Sit Down,,
Achterbahn,Kernie's Familienpark,Steel,Sit Down,Operating,2002-01-01
Achterbahn,Zoo Frankfurt,Wood,Sit Down,,1946-01-01
Achterbahn,Trampoline am See,Steel,Sit Down,,2006-01-01
Achterbahn,Nordsee Spielstadt Wangerland,Steel,Sit Down,Operating,2006-01-01
Achterbahn,Trampoline,Steel,Sit Down,Relocated,2008-01-01
Achterbahn,Mc-Play Kinderland,Steel,Sit Down,Operating,2008-01-01
Achterbahn,Tatzmania Löffingen,Steel,Sit Down,,2010-01-01
Achterbahn,Spreepark,Steel,Sit Down,,
Achterbahn,Spreepark,Steel,Sit Down,,1979-01-01
Achterbahn,Tierpark Essehof,Steel,Sit Down,Operating,2014-01-01
Achterbahn,Ferienzentrum Schloss Dankern,Steel,Sit Down,Operating,2018-01-01
Achterbahn,Flippolino,Steel,Sit Down,Operating,2018-01-01
Achterbahn,Ticiland,Steel,Sit Down,Operating,2020-01-01
Aconcagua,Parque de la Ciudad,Steel,Sit Down,,1983-01-01
